,precision,recall,fscores,MAPs,nDCGs
0,0.2311111111111111,0.036218349093478076,0.05972228705121553,0.2311111111111111,0.1711111111111111
1,0.18888888888888888,0.061019518875040035,0.0857172621478719,0.27111111111111114,0.15732269391883197
2,0.17037037037037034,0.07734228025920488,0.09788505554940877,0.29333333333333345,0.1551289461992444
3,0.16,0.0948367544621414,0.10915591174702755,0.3079012345679013,0.15592885808236603
4,0.1528888888888887,0.11298859028064384,0.11866487721292757,0.3105061728395063,0.1606270813158515
5,0.14370370370370372,0.12698241744113772,0.12278933549551088,0.3062938271604939,0.16314096714093182
6,0.1358730158730157,0.13810560289765653,0.12527389186122612,0.3049848324514994,0.16660468917645163
7,0.1322222222222222,0.15471863801069158,0.1307056833225185,0.30140670194003544,0.17146907238115836
8,0.12543209876543193,0.1651857388111258,0.13094279779348575,0.30189488536155223,0.1746229494429975
9,0.12044444444444452,0.17224534236546618,0.1302496495545224,0.30225497606450014,0.1777094268970369
